Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.22619E-13,0.000000001,0.000000001,0.991517901,0,0
7.47995E-13,0.000000003,0.000000003,0.988559029,0,0
2.65599E-12,0.00000001,0.000000011,0.983627577,0,0
5.57979E-12,0.000000025,0.000000022,0.979879673,0,0
1.84337E-11,0.000000103,0.000000074,0.973172897,0,0
3.43175E-11,0.000000251,0.000000137,0.967452411,0,0
1.126E-10,0.000001009,0.00000045,0.956800473,0,0
2.73074E-10,0.000002524,0.000001092,0.949008778,0,0
1.02249E-9,0.000010018,0.00000409,0.93628563,0,0
2.33714E-9,0.000025274,0.000009348,0.927014498,0,0
4.47686E-9,0.000050443,0.000017906,0.919420061,0,0
7.43485E-9,0.000100106,0.000029737,0.910937962,0,0
1.45162E-8,0.000250916,0.000058059,0.897129894,0,0
2.4799E-8,0.000501097,0.000099184,0.884209488,0,0
4.10647E-8,0.001002142,0.000164234,0.869119243,0,0
8.36639E-8,0.002500478,0.000334576,0.845053753,0,0
1.48878E-7,0.005012806,0.000595292,0.823256731,0,0
2.72025E-7,0.010003843,0.001087434,0.799289871,0,0
6.11507E-7,0.02500771,0.002442869,0.764769701,0,0
1.01333E-6,0.05005806,0.004044857,0.733898807,0,0
1.73364E-6,0.100111798,0.006910088,0.697110169,0,0
3.03347E-6,0.200514701,0.012059742,0.654699675,0,0
4.44632E-6,0.300342208,0.017626866,0.627773942,0.004975124,0
5.83775E-6,0.400067024,0.023078899,0.608442647,0.004975124,0.015151515
6.9264E-6,0.500482804,0.027323473,0.592760627,0.004975124,0.015151515
7.93342E-6,0.600654201,0.031233344,0.579445705,0.004975124,0.015151515
8.98046E-6,0.700108709,0.035281923,0.567906105,0.009950249,0.015151515
9.33236E-6,0.750424641,0.036638821,0.562481507,0.009950249,0.015151515
1.00419E-5,0.800708911,0.039368898,0.557352796,0.009950249,0.015151515
1.08637E-5,0.900303683,0.04252144,0.547884407,0.009950249,0.015151515
1.18763E-5,1.000171928,0.046391439,0.539303679,0.009950249,0.015151515
1.27935E-5,1.100545944,0.049883202,0.531216096,0.009950249,0.015151515
1.35303E-5,1.200026133,0.052679131,0.523818917,0.009950249,0.015151515
1.46367E-5,1.301000104,0.056862196,0.516717625,0.009950249,0.015151515
1.5622E-5,1.401439347,0.060571728,0.510208107,0.009950249,0.015151515
1.68863E-5,1.500493874,0.065310249,0.504191735,0.009950249,0.015151515
1.93477E-5,1.750799176,0.074466957,0.490383667,0.009950249,0.015151515
2.12487E-5,2.001264372,0.081477658,0.478153664,0.009950249,0.015151515
2.36352E-5,2.250286144,0.090203381,0.467304468,0.009950249,0.015151515
2.62355E-5,2.501869618,0.099616884,0.457441562,0.009950249,0.03030303
2.89156E-5,2.753624074,0.109217027,0.448367689,0.009950249,0.03030303
3.02754E-5,3.002660675,0.114048505,0.440082848,0.019900498,0.03030303
3.356E-5,3.250195806,0.125611704,0.432488411,0.024875622,0.03030303
3.50636E-5,3.500317872,0.130854647,0.42528849,0.024875622,0.03030303
